state,latitude,longitude
Georgia,33.88098758,-84.38013422
Georgia,33.7909785,-84.4070716
Georgia,33.7739218,-84.36356533
Georgia,33.4904458,-82.0800409
Georgia,33.855531,-84.5993014
Georgia,34.07311907,-83.98484862
Georgia,34.23665147,-84.45634732
Georgia,33.88455949,-84.31577334
Georgia,32.482932,-84.942702
Georgia,32.54176918,-84.95034429
Georgia,33.65107593,-84.00914985
Georgia,34.1812161,-84.13305842
Georgia,34.3486372,-84.0500075
Georgia,33.775257,-84.298713
Georgia,33.7278339,-84.7376685
Georgia,34.06743458,-84.16937882
Georgia,33.95524015,-84.13109877
Georgia,34.02145598,-84.12027297
Georgia,33.6573346,-84.4992978
Georgia,33.4722595,-84.4428863
Georgia,34.3032822,-83.858686
Georgia,31.8219132,-81.5990953
Georgia,34.03541848,-84.57355248
Georgia,34.00384742,-84.57924999
Georgia,33.95569583,-84.05474217
Georgia,33.967097,-84.022464
Georgia,33.84487462,-83.90851404
Georgia,32.90075978,-83.68851949
Georgia,33.9801472,-84.4246259
Georgia,34.037258,-84.461132
Georgia,33.42289817,-84.18719385
Georgia,33.56269552,-84.32466226
Georgia,33.39842,-84.74004
Georgia,33.9801112,-84.2171085
Georgia,33.9082515,-84.2057184
